Name,VitFR1,VitFR2,VitFR3,VitFR4
MA001Z,Marc de Raisin,Bromelaïne,Garcinia,Centella Asiatica
MB001Z,Marc de Raisin,Bromelaïne,Garcinia,Centella Asiatica
MC001Z,Marc de Raisin,Bromelaïne,Garcinia,Centella Asiatica
FA001Z,Marc de Raisin,Bromelaïne,Garcinia,Centella Asiatica
FB001Z,Marc de Raisin,Bromelaïne,Garcinia,Centella Asiatica
FC001Z,Marc de Raisin,Bromelaïne,Garcinia,Centella Asiatica
MA001Y,Thé Vert,Artichaut,Chardon Marie,Bouleau
MB001Y,Thé Vert,Artichaut,Chardon Marie,Bouleau
MC001Y,Thé Vert,Artichaut,Chardon Marie,Bouleau
FA001Y,Thé Vert,Artichaut,Chardon Marie,Bouleau
FB001Y,Thé Vert,Artichaut,Chardon Marie,Bouleau
FC001Y,Thé Vert,Artichaut,Chardon Marie,Bouleau
MA001X,Konjac,Algue Laminaire,Kudzu,Lin Huile
MB001X,Konjac,Algue Laminaire,Kudzu,Lin Huile
MC001X,Konjac,Algue Laminaire,Kudzu,Lin Huile
FA001X,Konjac,Algue Laminaire,Kudzu,Lin Huile
FB001X,Konjac,Algue Laminaire,Kudzu,Lin Huile
FC001X,Konjac,Algue Laminaire,Kudzu,Lin Huile
MA001W,Konjac,Thé Vert,Marc de Raisin,Papaye Fermentée
MB001W,Konjac,Thé Vert,Marc de Raisin,Papaye Fermentée
MC001W,Konjac,Thé Vert,Marc de Raisin,Papaye Fermentée
FA001W,Konjac,Thé Vert,Marc de Raisin,Papaye Fermentée
FB001W,Konjac,Thé Vert,Marc de Raisin,Papaye Fermentée
FC001W,Konjac,Thé Vert,Marc de Raisin,Papaye Fermentée
MA002Z,Escholtzia,Griffonia,L-Theanine,Passiflore
MB002Z,Escholtzia,Griffonia,L-Theanine,Passiflore
MC002Z,Escholtzia,Griffonia,L-Theanine,Passiflore
FA002Z,Escholtzia,Griffonia,L-Theanine,Passiflore
FB002Z,Escholtzia,Griffonia,L-Theanine,Passiflore
FC002Z,Escholtzia,Griffonia,L-Theanine,Passiflore
MA002Y,Valeriane,Melatonine,L-Tryptophane,Safran
MB002Y,Valeriane,Melatonine,L-Tryptophane,Safran
MC002Y,Valeriane,Melatonine,L-Tryptophane,Safran
FA002Y,Valeriane,Melatonine,L-Tryptophane,Safran
FB002Y,Valeriane,Melatonine,L-Tryptophane,Safran
FC002Y,Valeriane,Melatonine,L-Tryptophane,Safran
MA002X,Aubépine,Ashwgandha,Griffonia,L-Theanine
MB002X,Aubépine,Ashwgandha,Griffonia,L-Theanine
MC002X,Aubépine,Ashwgandha,Griffonia,L-Theanine
FA002X,Aubépine,Ashwgandha,Griffonia,L-Theanine
FB002X,Aubépine,Ashwgandha,Griffonia,L-Theanine
FC002X,Aubépine,Ashwgandha,Griffonia,L-Theanine
MA002W,Escholtzia,Melatonine,Houblon,Passiflore
MB002W,Escholtzia,Melatonine,Houblon,Passiflore
MC002W,Escholtzia,Melatonine,Houblon,Passiflore
FA002W,Escholtzia,Melatonine,Houblon,Passiflore
FB002W,Escholtzia,Melatonine,Houblon,Passiflore
FC002W,Escholtzia,Melatonine,Houblon,Passiflore
MA003Z,Coenzyme Q10,Eleutherocoque,???,???
MB003Z,Guarana,Magnesium,Coenzyme Q10,Ginseng
MC003Z,--------------,--------------,--------------,--------------
FA003Z,Coenzyme Q10,Eleutherocoque,???,???
FB003Z,Guarana,Magnesium,Coenzyme Q10,Ginseng
FC003Z,--------------,--------------,--------------,--------------
MA003Y,Rhodiola,Vitamine B,L-Tryptophane,Klamat
